title|comment|score|number
一一|我们都曾经是一一。|9.1|404462
狩猎|人言可畏。|9.1|400132
唐伯虎点秋香|华太师是黄霑，吴镇宇四大才子之一。|8.7|1098132
7号房的礼物|《我是山姆》的《美丽人生》。|8.9|566124
被嫌弃的松子的一生|以戏谑来戏谑戏谑。|8.9|712413
请以你的名字呼唤我|沉醉在电影的情感和视听氛围中无法自拔。|8.8|734648
蝙蝠侠：黑暗骑士崛起|诺兰就是保证。|8.8|734957
爱在黎明破晓前|缘分是个连绵词，最美不过一瞬。|8.8|697267
断背山|每个人心中都有一座断背山。|8.8|715826
剪刀手爱德华|浪漫忧郁的成人童话。|8.7|1046748
入殓师|死可能是一道门，逝去并不是终结，而是超越，走向下一程。|8.9|677858
第六感|深入内心的恐怖，出人意料的结局。|8.9|565490
重庆森林|寂寞没有期限。|8.8|824831
勇敢的心|史诗大片的典范。|8.9|564435
超能陆战队|Balalala~~~|8.7|1031618
甜蜜蜜|相逢只要一瞬间，等待却像是一辈子。|8.9|567448
幽灵公主|人与自然的战争史诗。|8.9|532352
爱在日落黄昏时|九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。|8.9|572921
菊次郎的夏天|从没见过那么流氓的温柔，从没见过那么温柔的流氓。|8.9|605631
借东西的小人阿莉埃蒂|曾经的那段美好会沉淀为一辈子的记忆。|8.9|563095
消失的爱人|年度最佳date movie。|8.7|971213
寄生虫|NULL|8.8|1391610
阳光灿烂的日子|一场华丽的意淫。|8.8|623500
天使爱美丽|法式小清新。|8.7|962773
完美的世界|坏人的好总是比好人的好来得更感人。|9.1|320690
小森林 夏秋篇|那些静得只能听见呼吸的日子里，你明白孤独即生活。|9.0|431836
倩女幽魂|两张绝世的脸。|8.8|748807
无人知晓|我的平常生活就是他人的幸福。|9.1|324705
时空恋旅人|把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。|8.8|688096
侧耳倾听|少女情怀总是诗。|8.9|470400
未麻的部屋|好的剧本是，就算你猜到了结局也猜不到全部。|9.1|345383
幸福终点站|有时候幸福需要等一等。|8.8|580789
驯龙高手|和谐的生活离不开摸头与被摸头。|8.8|767731
哈利·波特与火焰杯|NULL|8.8|676579
小森林 冬春篇|尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。|9.0|384437
一个叫欧维的男人决定去死|惠及一生的美丽。|8.9|493657
教父3|任何信念的力量，都无法改变命运。|9.0|381446
怪兽电力公司|不要给它起名字，起了名字就有感情了。|8.8|685420
傲慢与偏见|爱是摈弃傲慢与偏见之后的曙光。|8.7|815884
玩具总动员3|跨度十五年的欢乐与泪水。|8.9|527492
萤火之森|触不到的恋人。|8.9|548988
新世界|要做就做得狠一点，这样才能活下去。|8.9|447718
釜山行|揭露人性的丧尸题材力作。|8.6|1218017
被解救的姜戈|热血沸腾，那个低俗、性感的无耻混蛋又来了。|8.8|619041
神偷奶爸|Mr. I Don't Care其实也有Care的时候。|8.7|960358
茶馆|NULL|9.6|153865
告白|没有一人完全善，也没有一人完全恶。|8.8|680016
玛丽和马克思|你是我最好的朋友，你是我唯一的朋友 。|9.0|425654
哪吒闹海|想你时你在闹海。|9.2|264524
大鱼|抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。|8.8|575558
九品芝麻官|NULL|8.7|694381
色，戒|假戏真情，爱欲深海|8.7|827983
喜宴|中国家庭的喜怒哀乐忍。|9.0|370761
模仿游戏|他给机器起名“克里斯托弗”，因为这是他初恋的名字。|8.8|657684
头号玩家|写给影迷，动漫迷和游戏迷的一封情书。|8.7|1387062
射雕英雄传之东成西就|百看不厌。|8.7|647328
花样年华|偷情本没有这样美。|8.8|619888
我是山姆|爱并不需要智商 。|9.0|343392
阳光姐妹淘|再多各自牛逼的时光，也比不上一起傻逼的岁月。|8.8|596201
头脑特工队|愿我们都不用长大，每一座城堡都能永远存在。|8.8|627144
血战钢锯岭|优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。|8.7|792539
七武士|时代悲歌。|9.3|202003
恐怖直播|恐怖分子的“秋菊打官司”。|8.7|661853
惊魂记|故事的反转与反转，分裂电影的始祖。|9.0|302565
黑客帝国3：矩阵革命|不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。|8.8|453351
你的名字。|穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。|8.5|1429924
电锯惊魂|真相就在眼前。|8.7|544380
三块广告牌|怼天怼地，你走后，她与世界为敌。|8.7|831490
达拉斯买家俱乐部|Jared Leto的腿比女人还美！|8.8|459166
疯狂原始人|老少皆宜，这就是好莱坞动画的魅力。|8.7|849956
心迷宫|荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。|8.7|532180
谍影重重3|像吃了苏打饼一样干脆的电影。|8.8|425077
英雄本色|英雄泪短，兄弟情长。|8.6|549995
上帝之城|被上帝抛弃了的上帝之城。|9.0|305085
风之谷|动画片的圣经。|8.9|359035
纵横四海|香港浪漫主义警匪动作片的巅峰之作。|8.8|432597
卢旺达饭店|当这个世界闭上双眼，他却敞开了怀抱。|8.9|335073
海街日记|是枝裕和的家庭习作。|8.8|456765
爱在午夜降临前|所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。|8.9|411247
绿里奇迹|天使暂时离开。|8.9|336857
记忆碎片|一个针管引发的血案。|8.7|612934
小丑|NULL|8.7|1022187
疯狂的石头|中国版《两杆大烟枪》。|8.6|835624
背靠背，脸对脸|NULL|9.5|138814
雨中曲|骨灰级歌舞片。|9.1|230909
岁月神偷|岁月流逝，来日可追。|8.7|579521
2001太空漫游|现代科幻电影的开山之作，最伟大导演的最伟大影片。|8.9|337892
心灵奇旅|NULL|8.7|999792
忠犬八公物语|养狗三日，便会对你终其一生。|9.2|198851
荒蛮故事|始于荒诞，止于更荒诞。|8.8|450212
无间道2|NULL|8.7|488934
小偷家族|我们组成了家。|8.7|821721
无敌破坏王|迪士尼和皮克斯拿错剧本的产物。|8.7|549123
爆裂鼓手|这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。|8.7|597742
冰川时代|松鼠才是角儿。|8.6|624745
恐怖游轮|不要企图在重复中寻找已经失去的爱。|8.5|879693
贫民窟的百万富翁|上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁|8.6|753945
牯岭街少年杀人事件|弱者送给弱者的一刀。|8.9|307739
东邪西毒|电影诗。|8.6|584038
魔女宅急便|宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。|8.7|467179
遗愿清单|用剩余不多的时间，去燃烧整个生命。|8.7|471214
东京教父|NULL|9.0|236801
大佛普拉斯|人们可以登上月球，却永远无法探索人们内心的宇宙。|8.7|469313
你看起来好像很好吃|感情不分食草或者食肉。|8.9|338195
真爱至上|爱，是个动词。|8.6|739586
可可西里|坚硬的信仰。|8.9|308361
黑天鹅|黑暗之美。|8.6|788221
城市之光|永远的小人物，伟大的卓别林。|9.3|149922
源代码|邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。|8.5|846161
海边的曼彻斯特|我们都有权利不与自己的过去和解。|8.6|554799
雨人|生活在自己的世界里，也可以让周围的人显得可笑和渺小。|8.7|409241
波西米亚狂想曲|NULL|8.6|615509
初恋这件小事|黑小鸭速效美白记。|8.5|989059
