title,area_value,total_price,unit_price
永金里小区,120.99,889,73478
田村山南路9号院,83.71,618,73827
美丽园,144.1,1650,114504
乐府江南,137.23,1480,107849
八里庄北里,93.19,905,97114
金尚嘉园,165.01,2380,144234
秋露园,55.69,500,89783
增光路甲34号,74.64,709,94990
北洼东里,83.77,890,106244
翠微南里,69.54,768,110441
大泥湾,54.92,639,116352
新外大街31号院,66.3,515,77678
智学苑,69.05,475,68791
稻香园,71.49,690,96517
中信所小区,54.5,575,105505
智慧大厦,98.08,780,79527
领秀硅谷,144,1179,81875
育新花园,102.6,790,76999
增光路36号院,110.87,1130,101922
诚品建筑,168.95,1790,105949
宝盛里,85.69,540,63018
今日家园,125.72,930,73974
汤泉逸墅,197.39,2080,105376
黄庄小区,127.1,1700,133753
什坊院,87.35,850,97310
缘溪堂,317.3,3450,108730
绿波漫板,164.31,1789,108880
玉海园二里,124.12,878,70738
西四环中路41号院,137.8,896,65022
今日家园,130.69,960,73457
阜成路甲52号院,81.61,665,81486
富力桃园C区,89.64,670,74744
蓟门东里,56,498,88929
农影小区,92.33,1190,128886
景王坟,88.1,880,99887
学院派,61.03,549,89956
清华园,44.4,699,157433
金谷园,95.04,969,101958
文慧园,61.2,599,97876
清缘里中区,97.24,543,55842
北洼西里,54.5,485,88991
双榆树西里,58.54,649,110865
清华园,60.8,670,110198
保利西山林语,90.33,540,59781
铁东小区,83.7,769,91876
七贤村,57.8,555,96021
皂君东里,50.6,480,94862
钢铁研究院,63,555,88096
郦城三区,98.38,1165,118419
机械研究院西区,90.3,1100,121817
建材城西二里,59.15,435,73542
玲珑花园,120.5,1435,119088
熙湖,146.23,1268,86713
冠城南园,150.9,1200,79523
永泰园,56.87,378,66468
建西苑南里,77.09,547,70957
永泰园新地标,115.04,669,58154
信悦华庭,63.29,610,96382
电力宿舍,64.18,416,64818
海淀南路,65.2,756,115951
八里庄北里,73,592,81096
春晖园,76.4,579,75786
铁建大院,61.4,750,122150
怡秀园小区,86.41,1030,119200
阜成路95号院,73.1,608,83174
小营东路5号院,54.1,385,71165
翠微南里,40.6,486,119705
普惠南里,50.4,599,118850
北蜂窝中路甲8号院,55.14,580,105187
温泉路45号院,76.92,425,55253
紫金庄园,66.91,599,89524
阜北小区,61.91,550,88839
蓟门东里,62.1,556,89534
志强北园,47.2,410,86865
中成大厦,117.14,630,53782
秋露园,57.08,555,97232
铁东小区,66,636,96364
今日家园,64.16,590,91958
车道沟10号院,66.1,605,91528
北京印象,94.14,680,72233
环保局宿舍楼,63.3,560,88468
永泰东里,63.93,405,63351
美丽经典园,108.01,1430,132396
稻香园,58.9,660,112055
烟树园,91.48,999,109205
北洼西里,74,755,102028
烟树园,73.59,790,107352
车道沟南里,58.7,470,80069
熙湖,173.29,1500,86561
太阳园,138.26,1685,121872
西钓鱼台嘉园,150.26,1840,122455
金玉府,137.09,1330,97017
玉阜嘉园,126.88,870,68569
智学苑,128.21,755,58888
观林园,140.04,1180,84262
恩济里小区,62,599,96613
阳春光华家园,121.09,1438,118755
世纪金源国际公寓,205,1790,87318
碧兴园,150.24,1320,87860
玫瑰御园,157.74,1750,110943
甘家口小区,163,1390,85277
美丽园,156.22,1760,112662
恩济里小区,51.64,660,127808
水清木华园,148.56,1780,119817
韦伯豪家园,285.85,2620,91657
冠城南园,133.7,1750,130891
山水倾城,246.53,2799,113536
吴家村路10号院,84.7,550,64936
永泰西里,114.9,599,52133
远大园二区,156.39,1385,88561
冠城大通百旺府,132.55,1160,87515
保利西山林语,146.79,858,58451
柳林馆,82.5,968,117334
田村山南路9号院,114.72,860,74966
领秀新硅谷1号院,297.11,2090,70345
玉泉新城A区,63.45,420,66194
龙翔路小区,40.8,410,100491
康桥水郡,49.08,750,152812
恩济里小区,58.75,485,82554
车道沟东里,59.4,605,101852
清缘东里,80.17,630,78584
今日家园,109.37,880,80461
田村40号院,67.5,410,60741
八里庄北里,42.8,418,97664
郦城二区,116.06,1298,111839
城建小区,80.04,836,104448
望福园,119.22,1130,94783
建设部大院,63.2,810,128165
建设部大院,92.39,1050,113649
交大嘉园,108.19,1160,107219
定慧西里,81.8,718,87776
翠微路2号院,59.5,650,109244
城华园,72.86,655,89899
玉海园一里,80.5,740,91926
三里河路5号院,51.97,570,109679
永达逸家,67.65,539,79675
莲花小区,110.05,799,72604
荣上居,70.31,630,89604
定慧西里,59.4,483,81314
望福园,94.37,980,103847
竹园,64.7,549,84854
门头馨村北二区,93.61,495,52879
羊坊店西路10号院,76.78,699,91040
建设部大院,70.34,898,127666
前沙涧路7号院,65.68,253,38521
索家坟,57.9,410,70812
永定路57号院,42.3,368,86998
七贤村,77.3,770,99612
北蜂窝103号院,40.6,399,98276
上庄馨瑞嘉园,70.45,325,46133
